name_family,family_summary
Arboreal,"Arboreals are guardians of the forest and representatives of the trees. As longlived as the woods they watch over, arboreals consider themselves parents and shepherds of trees rather than their gardeners. Consequently, while arboreals tend to be slow and methodical, they are terrifyingly swift when forced to fight in defense of the woods. Though they rarely seek out the companionship of short-lived folk—even elves are fugacious in the eyes of arboreals—and have an inherent distrust of change, arboreals have been known to tolerate those who seek to learn from their long-winded, rambling monologues, especially if such pupils also express a desire to protect the timberlands. Against those who threaten their realm, such as loggers eager to harvest lumber or settlers aiming to establish croplands or a town, arboreals’ wrath is unwavering and devastating. Perhaps ironically, arboreals are gifted at tearing down what others build—a trait that serves vengeful members of their kind well."
Living Symbol,"Magic is a complex thing to begin with, and at a certain level of sophistication, the differences between a spell and an autonomous creature become increasingly blurry. Living symbols are constructed creatures of reified and reinforced magic, held together by glyphs, runes, and eldritch formulae."
Officers,"Larger societies rely on those with the authority and the ability to interpret and enforce laws. In good-aligned societies, these officials carry out their duties fairly. In neutral and evil ones, these officials can be harsh and cruel (with an altered alignment to reflect this), imposing severe punishments on those who can't pay for mercy."
Ant,Ants are industrious insects that aid the natural processes of decay and renewal.
Criminals,"Some criminals are the desperate who have no option but to break the law to survive, while others choose a life of crime for thrills, forming gangs or underworld guilds that specialize in certain illegal ventures."
Angel,"The celestial hosts of angels are messengers and warriors, divided into choirs based on their abilities and purviews. The majority of angels are neutral good and live in Nirvana, the plane of virtue and enlightenment. However, some angels, including several angelic deities, have different alignments, and some even dwell on other planes. Regardless of alignment, angels remain benevolent messengers possessed with magical auras to aid their allies."
Scholars,"True power comes from knowledge: the power to shape the growth of kingdoms by mere whispers, staying three steps ahead of adversaries, or even knowing which flora is best for creating untraceable poisons."
Qlippoth,"Long before the creatures known as demons came to be the dominant force in the Abyss, qlippoth ruled the Outer Rifts. These inimical creatures are a form of primordial and alien evil that predates mortal life, and most immortal life as well. Since the rise of mortal sin and the associated expansion of demonic life through the Abyss, qlippoth have been driven to the deepest reaches of the Abyss, and they seethe with rancor at the loss of their realms. Yet rather than directly oppose demons, qlippoth instead turn to the source—mortal sin—and wage an endless war to eradicate all creatures capable of sinful acts so that the demonic tide might be turned back."
Velstrac,"Velstracs are horrific, shadow-dwelling fiends who seek ultimate sensation through self-mutilation. They transcend their stoic detachment only when inflicting pain and terror upon their victims, practicing new forms of debasement and torture before then turning their knives on themselves. Although velstracs consider themselves beyond such limitations as morality or mortal taboos, their victims know them as emotionless tormentors who inflict debased, sadistic suffering. They claim to seek perfection in thought, form, and action, although they don’t recognize any refinement that doesn’t require the painful excision of the flesh or spirit. Velstracs manifest from the souls of masochistic or sadistic mortals that are diverted into the Shadow Plane and then forged into forms that suit their vile predilections, ranging from the low-ranking augurs to the aesthetics-obsessed interlocutors. Some mortals refer to velstracs as “kytons,” a misattribution that the velstracs tolerate with cold amusement. The term “kyton” denotes a master or virtuoso among their kind, and these fiends enjoy being labeled masters of their horrid paths to perfection through agony."
Azarketi,"During the cataclysmic events of Earthfall, a fraction of the Azlanti populace was mutated by their hated alghollthu enemies to survive in the ocean depths. Commonly called “gillmen” or sometimes “Low Azlanti,” azarketis primarily live in the Arcadian Ocean, Inner Sea, and ruins of Azlant. They retain the imperious attitude and violet eyes of their ancestors, but they have hairless bodies, prominent gills, and webbed hands and feet. Most have innate hydrokinetic powers, which they use to make tiny currents, cushion their dives, and read the weather. Whether this power springs from the latent magic of their Azlanti heritage or alghollthu meddling is unknown. Azarketis endured centuries of alghollthu enslavement and experimentation before being abandoned by their alghollthu masters. In the ages since, azarketis have built their own settlements and societies, traveled the breadth of Golarion's waterways, and explored both the ruins of their shattered empire and the myriad cultures that dot the coasts of the world. Proud of their heritage, azarketi are secretive and territorial. They don't take kindly to outsiders in their underwater settlements or explorers seeking to pillage the ruins of Azlant. Only a few build relationships with coastal or island settlements, defending them from aquatic dangers or supporting naval trade."
Cave Worm,"Cave worms are gigantic scavengers that bore through the depths of the world, eating whatever material they find. Named for their distinctive colorations, these worms are ravenous and display overwhelming destructive capabilities. Cave worms of different colors and abilities lurk in the more remote corners of the world—tales speak of white worms that dwell within immense glaciers or icebergs and gray worms that burrow through the boneyards of long-forgotten ruins, to name a few."
Badger,"The burrowing badger is plentiful in most temperate forests. All badgers are naturally fierce and tenacious, and their squat stature belies their strength and speed."
Snake,"Snakes come in an array of forms, from jungle-dwelling constrictors that wrap around their prey to venomous vipers with deadly bites. Regardless, all snakes consume their prey whole by unhinging their jaws and using powerful muscles to move the food down their throats and into their stomachs."
Devil,"Masters of corruption and architects of conquest, devils seek both to tempt mortal life to join in their pursuit of all things profane and to spread tyranny throughout all worlds. The temptations they offer mortals range from great powers granted by the signing of an infernal contract to twisted favors following a whispered pledge to a diabolic patron, or any number of even subtler exchanges. Those who succumb to these temptations find themselves consigned to an afterlife of endless torment in the pits of Hell, wherein the only hope of escape lies in the chance of being promoted to become a devil in the infernal ranks. Every devil has a specific role to play in the upkeep of the remorseless bureaucratic machine that is Hell, from soldiers and scholars to inquisitors, lawyers, judges, and executioners. Lowly lemures and imps perform subservient labor to more powerful and specialized devils, such as contract devils and erinyes, while the greatest pit fiends command entire infernal armies."
Barghest,"Barghests are lupine fiends with goblinoid faces and humanoid hands. They stalk the Material Plane in search of souls to sate their demonic hunger. Eons ago, barghests dwelled in the pits of Hell and served Asmodeus, but after Lamashtu abducted and adopted the four most powerful of their kind to serve as pets (and in time, as a pantheon of hero-gods worshipped by evil goblins), barghests’ loyalties and philosophical nature changed significantly. Today, while barghests retain their connection to goblinoids, they serve none but their own appetites."
Publicans,"Countless adventures begin in a tavern or a pub. Maybe it's because such places attract the risk-prone, or maybe it's because everyone needs a little liquid courage before they decide to take on a group of rampaging ogres."
Ghoul,Few creatures are more ubiquitous to sinister locations such as lonely graveyards and ruined crypts than the flesh-eating undead known as ghouls. 
Basilisk,This entry did not have a separate description for the family.
Archon,"Archons are guardians of Heaven and enemies of chaos and evil. They openly fight back the spread of fiends but also quietly nurture the seeds of virtue within mortals, teaching the denizens of the Material Plane how to act with honor and integrity, enact just laws, and cast off sin and temptation. Archons live in the immense seven-tiered mountain of Heaven. They manifest in the Garden at the mountain’s peak from mortal souls who answer a mysterious voice. There they swear to forever serve the cause of justice and transform into their new archon forms. Intensely orderly in their metamorphosis, new archons begin as lantern archons or other lesser forms, transforming into ever-greater archons as their virtue and achievements grow. Each archon represents a particular virtue, such as hope, charity, justice, or courage, and they gain strength in the presence of mortals who exemplify this virtue. Due to their extremely lawful nature, archons sometimes find themselves at odds with azatas."
Beaver,"Beavers are stocky, herbivorous rodents that live in freshwater ecosystems throughout Avistan. They live in lodges, which they construct from logs, grass, rocks, and mud."
Skeleton,"Made from bones held together by foul necromancy, skeletons are among the most common types of undead, found haunting old dungeons and forgotten cemeteries. Skeleton Abilities Most skeletons have one of these abilities. If you give a skeleton more, you might want to increase its level and adjust its statistics. Bestiary Bloody The skeleton is covered in dripping blood and gains fast healing equal to its level.  Collapse  [reaction]  Trigger The skeleton is critically hit. Effect The skeleton collapses into a pile of bones and the attack deals only normal damage. The skeleton can reform in a standing position as an action, but until it does, it is immobilized and flat-footed. Explosive Death When the skeleton is destroyed, its bones shatter and explode as the necromantic energy holding it together is released. Adjacent creatures take 1d6 slashing damage per 2 levels (minimum 1d6) with a basic Reflex save. Screaming Skull  [two-actions]  (auditory, emotion, fear, mental) The skeleton removes its skull and throws it, making a jaws attack with a range of 20 feet. It then attempts to Demoralize each foe within 10 feet of the target. The head bounces, rolls, or even flies back, returning to the skeleton at the start of its next turn. The skeleton is blind until then. Bestiary 3 Blaze The skeleton is wreathed with fire, which doesn't consume its bones or gear. The skeleton gains immunity to fire and weakness 5 to cold, loses its resistance to cold, and its Strikes deal additional persistent fire damage equal to half the skeleton's level (minimum 1 damage).  Bone Missile  [two-actions]  The skeleton yanks a rib from its ribcage to use as an arrow or javelin. The skeleton loses HP equal to its level (minimum 1), then makes a ranged Strike. This uses the attack bonus of whichever of the skeleton's other Strikes has the highest attack bonus and deals piercing damage equal to that Strike's damage plus the skeleton's level (minimum 1). Bone Powder Source When the skeleton takes physical damage from a critical hit, one of its bones is pulverized into a fine powder. All creatures in a 5-foot emanation that breathe take 1d6 persistent poison damage (plus an additional 1d6 for every 6 levels the skeleton has).  Skeleton of Roses  Thick briars have grown through the skeleton's bones, covering it in red roses with inch-long thorns. The skeleton's unarmed melee Strikes deal additional piercing damage equal to 1/3 the skeleton's level (minimum 1 damage). At the end of each of its turns, if the skeleton has caused piercing damage with its thorns, it regains HP equal to its level (minimum 1). Each time the skeleton regains HP in this way, another rose blossoms. Book of the DeadAquatic Bones The skeleton has bones from aquatic creatures, allowing it to swim using a simple tail, paddles, or similar appendage. The skeleton has a swim Speed of 20 feet and gains the aquatic trait and the aquatic ambush ability. Bone Storm  [three-actions]  Frequency once per day; Effect The skeleton transforms into a cyclone of bones, taking up the same space, but twice as tall. It then Strides up to double its Speed. It can move through spaces occupied by other creatures, and this movement doesn't trigger reactions. Creatures the bone storm moves through take 1d6 slashing damage for every 2 levels of the skeleton, with a basic Reflex save against the hard DC for the creature's level. A level 1 or lower skeleton only moves; it doesn't deal damage. A creature attempts this save only once even if the bone storm moved through its space multiple times. At the end of the movement, the skeleton reforms. Crumbling Bones The skeleton is made from crumbling bones that drift in clouds of dust. The skeleton has a fly Speed of 20 but it must end its turn within no more than 5 feet off the ground, or it falls, taking damage as normal. In addition, the skeleton can move through any space that's large enough for its skull to fit through. Frozen The skeleton's bones are covered in a thin layer of ice. The skeleton gains immunity to cold and weakness 5 to fire and loses resistance to fire. The skeleton is surrounded by an aura of cold that deals cold damage equal to half the skeleton's level to all adjacent creatures at the start of the skeleton's turn (basic Reflex save with a standard DC for its level). Grave Eruption  [two-actions]  Requirements The skeleton is undetected and buried in dirt, gravel, or other loose material; Effect The skeleton erupts from the ground, Stands, and makes a melee Strike. The target is flat-footed against this Strike. If the Strike hits, the target is frightened 1 (or frightened 2 on a critical hit). Lacquered During the process to create the skeleton, it was covered with several layers of an alchemical lacquer, giving its bones a golden hue and granting added protection. The skeleton gains acid resistance 5 and a +2 status bonus to saves against effects that age or erode the target. Nimble The skeleton is particularly fast and nimble. Its land Speed increases by 10 feet and it has a climb Speed of 20 feet. In addition, it gains the Nimble Dodge reaction. Rotten The bones of this skeleton are black and rotten, having spent years in polluted water or some other foul substance. The skeleton loses its resistance to piercing and slashing damage and is surrounded by a horrific stench in a 10-foot aura. A creature entering or starting its turn in the aura must succeed at a Fortitude save against the standard DC of the skeleton's level or become sickened 1 (plus slowed 1 for as long as it remains sickened on a critical failure). While within the aura, affected creatures take a –2 circumstance penalty to saves against disease and to recover from the sickened condition. A creature that succeeds at its save is temporarily immune for 1 minute. This stench remains for 1 hour after the rotten skeleton has been destroyed unless the bones are burned, or the rot is washed away with at least 1 gallon of water."
Downtrodden,"Unfortunately, every society has people living on its fringes. While good communities work to grant aid and respite to their downtrodden, sometimes—due to economic downturn, famine, or war—the ranks of the less fortunate exceed the community's capacity to support them. In heartless neutral and evil societies, poverty is seen as an inevitability that can never be truly eradicated, or even worse, as a tool to be manipulated for political gain."
Hippopotamus,"Hippopotamuses, or hippos for short, are semiaquatic animals that spend most of their time in rivers and lakes, but they also can thrive on land."
"Elemental, Air","Hailing from the Plane of Air, these beings appear in a variety of sizes and shapes."
Bhanyada,"Gobbets of flesh left behind from an untidy meal or a surgical procedure typically rot away if left where they lie, but when steeped in areas of powerful lingering magic or eldritch radiation, these bits of loose tissue might achieve some measure of animation, perhaps sprouting thick limbs to move about or tiny, multifaceted eyes to see. Near the magic-suffused Ghantibhu Pits in the caverns located beneath southern Vudra, where ripples of magic are powerful enough to rend the air and transform stone, these tiny, rotting castoffs form into even larger amalgamations called bhanyadas."
Bear,"Bears are ferocious predators typically found in cold or temperate woodlands and hills. Many species of bear exist in addition to the two presented below, such as the smaller (but no less dangerous) black bear or the arctic-dwelling polar bear."
Scorpion,"Chitinous scourges of deserts, forests, savannas, and badlands, scorpions are deadly arachnids with powerful pincers and a painful sting. Scorpions can be found in nearly every climate, where they hunt their prey with a mixture of patient stealth and raw strength. Most scorpions live in underground burrows, either as lone hunters or part of a larger colony. These arachnids are so feared and dangerous that in many cultures, they are treated as deities or dualistic symbols of both death and protection from said death."
Blackfrost Dead,"These shambling arctic horrors are dead in name alone. Creatures who succumb to the frigid elements while cursed by blackfrost don't become mere corpses entombed in ice but rather vicious undead capable of spreading the curse of blackfrost even further. Cracked, frostbitten flesh that emits a freezing vapor like steam; inexorable, unhindered strides through feet of ash-blackened snow; a vacant, icy-blue gaze devoid of humanity—the descriptions of blackfrost dead vary by the teller, but none can deny the supernatural dread these monsters evoke. Blackfrost dead take a variety of forms. Most are mindless, lumbering brutes, largely indiscernible from mundane zombies except for the curse they can inflict. Others not only maintain their presence of mind but wield powers of psychic corruption not unlike those of blackfrost's originator, Osoyo, the Blackfrost Whale. What form a blackfrost dead takes depends primarily on the victim's psychic fortitude and its aptitude for occult magic. See the curse for further details on blackfrost. Blackfrost Dead Abilities You can modify an existing undead creature to become blackfrost dead using the following abilities. All blackfrost dead bear the curse of blackfrost and have some way to inflict it, usually using one of their existing Strikes. Most blackfrost dead have one other ability from this list as well. As blackfrost dead stem from blackfrost itself, all blackfrost dead have the rare trait. Blackfrost Breath  [two-actions]  (conjuration, occult) The blackfrost dead gasps sharply, then exhales a mist of dark-blue blackfrost particles in a 5-foot emanation. All creatures within the mist become concealed, and all creatures outside the mist become concealed to creatures within it. The mist persists for 1 minute. A creature that ends its turn in the mist is exposed to blackfrost. The blackfrost dead can't use Blackfrost Breath again for 1d4 rounds. Ice Climb The blackfrost dead can climb on ice as though it had the listed climb Speed. It ignores difficult terrain and greater difficult terrain from ice and snow and doesn't risk falling when crossing ice. Mindburning Gaze  [two-actions]  (emotion, fear, necromancy, occult, visual) The blackfrost dead fixes its terrifying gaze on a creature within 60 feet. The creature takes 1d4 mental damage per level of the blackfrost dead (minimum 2d4), with a basic Will save. On a critical failure, the creature is frightened 1. Shattering Death (cold) When the blackfrost dead is destroyed, its body shatters like brittle ice, filling the air around it with a cloud of frigid, razor-sharp ice shards. Creatures in a 10-foot emanation take 1d8 cold damage per level of the blackfrost dead (minimum 3d8), with a basic Reflex save. Creatures that critically fail this save also take 1d6 persistent bleed damage."
"Elemental, Water","Water elementals can be very destructive, but often not intentionally so; just as water can bring life to those in need on the Material Plane, its waves can pound shores and rains can flood cities. Water elementals are similarly difficult to predict."
Octopus,These cunning marine animals live in a variety of ocean habitats.
Boar,"While domesticated pigs are a staple of farm life, wild boars are much more dangerous. Foul-tempered warthogs are relatively common, while the lumbering, primeval beasts known as daeodons are less so. Voracious eaters, boars can ravage the countryside in which they live. Boars breed freely, and a pair of boars can rapidly grow to a large family. Boars are a particular nuisance to farmers, as they break into food stores and root through gardens to sate their hunger."
Mercenaries,"A broad category that includes those wielding arms, spells, or even guile and cunning, mercenaries hire themselves and their expertise to those with the gold to pay for it."
Mummy,"While many cultures practice mummification of the dead for benign reasons, undead mummies are created through foul rituals, typically to provide eternally vigilant guardians."
Bogeyman,"Bogeymen are stealers of innocence and devourers of souls. Few targets who survive an encounter with them remain unchanged. Different names are given to bogeymen according to their varying sizes and degrees of power, which typically advance as the monsters consume more souls."
Boggard,"Boggards are aggressive humanoid amphibians that thrive in swamps, marshes, and even some rain forests. Boggards hatch from eggs into tadpoles, fiercely competing for food and even consuming their siblings in that struggle. Over 3 years, the surviving boggards develops arms, legs, and lungs while learning the rudiments of hunting, crafts, and warfare—everything needed to survive in their might-makes-right society. At the top of most boggard hierarchies lords a hulking swampseer imbued with sinister divine magic."
Bone Skipper,"Orange-headed bone skippers feast on the flesh of the dead, particularly seeking out the marrow in the bones of large carcasses. These strange flies are named for the way they hop about on rotting bodies as they feed, causing the corpses to move and appear as if alive."
Bore Worm,"These Darklands vermin produce corrosive, noxious slime and deliver agonizing bites, whether as a revolting, wriggling swarm of finger-length worms or a single massive, lurching beast. Among Darklands communities, most inhabitants regard bore worms much in the same way surface cultures speak of maggots or cockroaches—with general disdain and revulsion. Children consider catching a single bore worm and using it to torment others a rite of passage, albeit a dangerous one.Variant Bore Worms The humble bore worm is a small and simple creature, both biologically and magically. These qualities allow it to adapt rapidly to different environments, some of them quite extreme, and also makes it susceptible to magical radiation and experimentation. Many a Darklands apprentice takes their first steps in the school of transmutation by practicing on these worms, while variations— both natural and cultivated—are scattered about beneath Golarion's surface. Ice Worms: Found tunneling through the glaciers beneath the Crown of the World, these pale-blue worms behave similarly to their soil-bred cousins, but their frigid acid inflicts marks similar to frostbite on anything they touch. Ice worms still flee from liquid water but are immune to cold rather than to acid, and they substitute cold for acid in all of their attacks and abilities. Lava Worms: Dwelling in the deepest, hottest reaches of the Darklands, these bizarre creatures consume not living matter but minerals and rare earths. They're most often found near volcanoes or open magma and will swim through the lava in pursuit of a meal. Lava worms are immune to fire rather than to acid, and they substitute fire for acid in all of their attacks and abilities. Necral Worms: An undead sorcerer in the ghoul-run Darklands city of Nemret Noktoria developed necral worms about 60 years ago by filling an empress bore worm's abandoned exoskeleton with a unique alchemical paste. These undead bore worms radiate the very energies of death, making them surprisingly sophisticated magical batteries. Less pleasant entities often use them as magical tools. Necral worms have the undead trait and negative healing. They substitute negative damage for acid damage in all of their attacks and abilities, and they gain a weakness to positive damage in place of their weakness to water. Mage-Eater Worms: These luminous, purple worms present just one more reason to avoid the Mana Wastes between Geb and Nex, where magic is unreliable at best and more often dangerously unpredictable. When a creature fails a save against Swarming Bites or Painful Bite, the worms also attempt a counteract check against a single spell affecting the creature (counteract level 3, counteract modifier +12)."
Seafarers,"Adventurers may need passage on a swift vessel, or they might face danger from raiders at sea or in coastal settlements."
Dolphin,"Dolphins encompass a wide range of aquatic mammals, all of which are quite social, intelligent, and widespread through the world’s oceans."
Leech,"Though valued by apothecaries and field medics as methods to reduce swelling or drain blood, leeches are despised by most who encounter them, regardless of the setting."
Brughadatch,"Brughadatches are malevolent fey tricksters with distinct stages of life: they spawn from the First World’s primal energies as esurient tadpoles, grow into humanoids capable of creating enticing illusions, then finally evolve into huge, slothful toads that warp their environs with mere thoughts."
Thylacine,"The thylacine is a marsupial carnivore. This nocturnal predator typically hunts alone, only occasionally forming small packs. Because of their odd appearance, thylacines have a far harsher reputation than they probably should, playing a sort of bogeyman role in farming communities."
Bugbear,"These stealthy and cruel goblinoid creatures delight in spreading fear and tormenting their victims. Bugbears are the monsters lurking in the closet and hiding under the bed. Preying on remote farmsteads, bugbears reveal their presence with thumps in the night or creaks of boards to build lurking dread and arouse suspicion and fear."
Leshy,"Leshys are intelligent plant creatures that guard areas of primeval wilderness or earthly power. Originally created by powerful fey, they manifest when a skilled practitioner of primal magic—typically a druid—combines a nature spirit with a body carefully grown from local vegetation. The rites and materials required to create a leshy vary depending on the type of leshy. They are typically given life in an area of great natural significance, such as an arboreal’s grove, a druidic circle, a fairy ring, or a great natural wonder."
Linnorm,"Immense, primeval dragons of the northern reaches of the world, linnorms hate those they deem to be lesser creatures and seek to inflict as much suffering as possible upon their unfortunate victims. While these serpentine monstrosities might not be the powerful winged dragons most imagine, they nonetheless possess incredible strength and deadly powers that often rival authentic dragon brutality."
Wight,"Wights are undead humanoids that, much like wraiths, can drain the life from living creatures with but a touch. They arise as a result of necromantic rituals, especially violent deaths, or the sheer malevolent will of the deceased. As many types of wights exist as types of people from which they might be created. Hulking brutes, skittering sneaks, and cunning tinkers all make for different wights with different niches to fill. Environment, too, plays a part in determining a wight's special abilities and defenses. Frost wights, for instances, can be found in the parts of the world where exposure is a common end. Regardless, wights typically haunt burial grounds, catacombs, or other places of the dead. But their hunger is targeted toward the living—those individuals who remind them of the shackles of mortality and whom they feel compelled to “free” to the state of undeath. A single wight can wreak a lot of havoc if it is compelled to rise from its tomb. Because creatures slain by wights become wights as well, all it takes is a single wight and a handful of unlucky graveyard visitors to create a veritable horde of these undead. Thus, canny priests and adventurers know that the best solution to a wight problem is swift and total eradication. Care must be taken, though, to destroy wight spawn before attempting to destroy the parent wight, for spawn without a master gain the ability to create spawn of their own. Durable and sustained as they are by negative energy, wights can last in harsh environments without decaying the way some lesser undead do. They might dwell in high mountain passes, sealed passageways, or submerged in bogs or lakes for decades or even centuries before the passage of an unsuspecting traveler rouses them from their rest."
Caligni,"Calignis lurk in subterranean cities, creeping to the surface to steal, stalk, or make mischief. Each caligni serves in a specific role and grows into a specific form as determined by supernatural traditions and influences in caligni society. Regardless of their size or role, all calignis are gaunt, with pale flesh and white eyes. Some surface dwellers call the caligni “dark folk,” a term they dislike because it doesn’t reflect either their appearance or character, only their environment.Each individual in caligni society serves a specific role. At times, certain roles so rarely find suitable candidates that a community might only see a few individuals fill them in an entire generation."
"Elemental, Wood","At first glance, wood elementals might not seem to have the same destructive potential as their cousins from the Planes of Fire, Water, or Air, but don't be fooled. The woods can be a dangerous place. Though some resemble animals, the elemental beasts presented here are still plants, and their life cycles reflect it. Vegetable lambs grow on rooted stalks, from which they can't be removed until they've matured (or perhaps ripened), leaving them dependent on their immediate surroundings for food. Moss sloths are little more than lumps of green fluff for the first century of their existence, only gaining limited mobility once they can grow their defensive wooden claws. "
Catfolk,"Lithe and agile, with catlike features and long tails, the amurruns are wanderers, explorers, and extroverts who share a gregarious nature and an unbridled curiosity. This latter characteristic leads many individual amurruns into trouble, yet this inquisitiveness is paired with a penchant for good fortune that offsets much of their self-induced peril. They accept the term “catfolk” as a name for their people with grace and a hint of amusement. Ever eager to explore and learn, catfolk have spread to other parts of the world from their native nations in the southern tropics, yet never in large groups. A lone catfolk can be found anywhere in the world, but it’s rare to find a settlement beyond their traditional national borders. This is due to their innate wanderlust and insatiable wonder. As many a catfolk might say, “I’ve lived with my people my whole life, but you? You’re new and different! There’s so much to learn from you!” Longstanding amurrun legends claim the catfolk were first created as guardians and were then charged with protecting the world from those sinister forces that exist at its fringes. Often, this charge manifests as a longstanding opposition to cultists of demon lords, archdevils, and other fiendish demigods. Many catfolk worship the spirits of creation, using serendipitous rituals to attract good fortune and banish ill luck in the spirits’ name, while others venerate their own small pantheon of divinities. Those who travel often find comfort in the worship of Desna, whose teachings closely match their own predilections. Catfolk adapt well to adventuring roles, and can be quite diverse in their areas of study and specialization. Those who follow the traditions of rangers and rogues are perhaps the most commonly encountered, but not overwhelmingly so. Their natural curiosity leads some catfolk to take up mystical arts, training as wizards or following a divine path to become clerics."
Psychopomp,"Psychopomps are guardians and shepherds of the dead native to the Boneyard, the vast plane of graves where mortal souls are judged and sent on to their eternal rewards or damnations. Psychopomps ensure that the dead come to terms with their transition from mortality and are properly sorted into the appropriate afterlife. They also protect souls from being preyed upon by supernatural predators. Nearly all psychopomps wear masks, especially when they’re likely to be interacting with mortals, although the types of masks they wear are as varied as the psychopomps themselves. The courts of the Boneyard preside in Requian, a somber yet melodic language spoken slowly with various tonal shifts."
Lizard,"Lizards have a wide range of appearances and abilities, but most share a basic reptilian shape—long tails, wide toothy mouths, and four legs. While a few species are capable of movement on two legs for short periods of time, most are strictly quadrupedal. The three species presented here represent the most common and well-known of the larger species."
Giant,Giants are massive humanoid creatures who live in remote regions throughout the world. They are divided into a number of subtypes.
Troll,"Slavering, cruel, practically invincible brutes: this is the villager’s stock description for the dread monsters known as trolls. But words hardly do justice to trolls’ capacity for destruction. They are as bloodthirsty as orcs but lacking the discipline, as massive as giants but capable of regenerating wounded flesh in an instant, and as reprobate as ogres but with twice the strength. The only way to really understand the wanton violence of a troll is to experience it firsthand—a fate few would wish even upon their worst enemies. The first thing that comes to mind when most think of trolls is the creatures’ power of bodily regeneration. So potent is this regeneration that the only way to overcome it is to exploit the troll’s vulnerability to acid and fire. It is not enough to slay the troll with caustic or flaming weapons, though—even the smallest scrap of a troll’s flesh can regenerate into a full-size troll given enough time. The only sure way to eradicate a troll menace is to burn the monster’s entire body until nothing remains. Trolls are solitary hunters, for their wickedness is anathema even to other giants. They occasionally roam in small gangs of two to four, but only when prey is plentiful or a particularly strong counterforce has broached their hunting grounds. In rare instances, an old and powerful troll comes to lead small tribes of trolls. Such “troll kings” possess enough cunning to lead their hordes in devastating raids and massacres, and their presence permanently alters the surrounding ecosystem. A wide variety of trolls exist, from the terrible monster traditionally associated with the name to the water-dwelling scrag and hybrid flood troll. Regional variations exist as well—mountain trolls among stony peaks, for instance, or moss trolls in swampy bayous— but all share the same trademark regenerative powers and insatiable thirst for blood."
Cecaelila,"Cecaelias resemble humans with octopus tentacles instead of legs. These oceanic hunters are agile and intelligent creatures, but proud. Their inquisitiveness often brings them into contact with strangers, where a poor turn of phrase or an unintended insult can quickly spark their legendary tempers. Cecaelias live nomadic lives, hunting and scavenging along coastlines for food and tradeable trinkets. They engage in frequent trade with terrestrial communities, offering anything from seafood to treasures retrieved from sunken vessels in exchange for goods not readily available underwater. Some take to piracy or hire themselves out as mercenaries, but their quarrelsome disposition invariably leads to them going their own way again before too long. The only non-cecaelia communities that maintain long-lasting relationships with cecaelias are those of the remarkably laid-back locathahs, who coexist with cecaelias in the city of Xidao (page 164). Cecaelias live in warm waters along verdant ocean reefs or coastlines, often near humanoid settlements. Able to adapt rapidly over a few generations, cecaelias adopt the physical features of their closest humanoid neighbors, which sages liken to an octopus's natural camouflage."
Centipede,"Hunters and scavengers that live amid dung and detritus, centipedes are a relatively common and often reviled threat faced by adventurers. Scurrying about with surprising speed on the scores of legs attached to their long, segmented bodies, centipedes strike with poisoned mandibles to slow and torment their prey with a vicious toxin before they settle down to feed in slow and disgusting leisure."
Changeling,"Children of hags, destined to become hags themselves, changelings face a life of conflict. Born of supernatural creatures who kill and consume the child’s father, changelings are deposited into their father’s society to be raised. These offspring appear to be members of their paternal ancestry, and changelings have been found among dwarves, gnomes, orcs, goblins, and numerous others, but human-ancestry changelings are by far the most common. Within the normal range for their ancestry, changelings tend toward slighter builds, darker hair, and pale complexions, though their most common feature is a nearly universal heterochromia, leading to widespread superstition about individuals with differently colored eyes. As changelings come of age, they sometimes manifest abilities granted by their hag heritage. Some gain the ability to see in the dark, some grow fingernails long and hard enough to serve as claws, and others gain even stranger abilities specific to their hag mother. For instance, dream mays, the children of night hags or their cousins the dreamthief hags, can gain an enhanced ability to resist the magic of dreams and sleep. Other types of changelings include slag mays, the children of annis hags; callow mays, the children of green hags; brine mays, the children of sea hags; and others for each type of hag. As beings infused with supernatural power, changelings find themselves able to command various traditions of magic, with many drawn to either the occult magic common among hags or primal magic. At roughly the same time in their lives, many changelings— women in particular—begin to hear the Call, a psychic urging from their hag mother luring them away from the communities that raised them. If followed, the Call eventually leads the changeling to the hag’s coven, where they are subjected to terrible rituals that twist them into hags themselves. Some changelings, especially those who have strong social bonds or embrace druidic traditions, are able to resist this Call and continue on with their mortal lives. The fact that the Call disproportionately targets female changelings has led to a widespread misunderstanding that all changelings are female, while in fact male changelings are simply assumed to be members of their paternal ancestry."
Animated Bones,"Commonly mistaken for undead, animated bones are mindless constructs with no connection to necromancy. The following are examples of typical animated bones."
