|Name|Creature family|Source|Rarity|Size|Alignment|Trait|Level|Hp|Ac|Fortitude|Reflex|Will|Perception|Sense|Speed|
|[Corrupted Relic](https://2e.aonprd.com/Monsters.aspx?ID=1103)||[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 55|Rare|Medium|CE|[Incorporeal](https://2e.aonprd.com/Traits.aspx?ID=222), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137), [Spirit](https://2e.aonprd.com/Traits.aspx?ID=149), [Undead](https://2e.aonprd.com/Traits.aspx?ID=160)|4|50 ( negative healing )|19|+6|+11|+11|+9|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [lifesense](https://2e.aonprd.com/MonsterAbilities.aspx?ID=21) (imprecise) 60 feet|fly 30 feet|
|[Corrupted Retainer](https://2e.aonprd.com/NPCs.aspx?ID=2004)||[Pathfinder #151: The Show Must Go On](https://2e.aonprd.com/Sources.aspx?ID=21) pg. 35|Common|Medium|CE|[Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|2|30|19|+9|+6|+7|+6||25 feet|
|[Counteflora](https://2e.aonprd.com/Monsters.aspx?ID=518)||[Pathfinder #153: Life's Long Shadows](https://2e.aonprd.com/Sources.aspx?ID=29) pg. 78|Common|Large|N|[Plant](https://2e.aonprd.com/Traits.aspx?ID=125)|10|220|29|+22|+20|+14|+18|tremorsense (imprecise) 60 feet|25 feet|
|[Crag Linnorm](https://2e.aonprd.com/Monsters.aspx?ID=284)|[Linnorm](https://2e.aonprd.com/MonsterFamilies.aspx?ID=69)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 224|Uncommon|Gargantuan|CE|[Dragon](https://2e.aonprd.com/Traits.aspx?ID=50), [Fire](https://2e.aonprd.com/Traits.aspx?ID=72), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|14|270|37|+28|+24|+22|+26|darkvision, scent (imprecise) 60 feet, [_true seeing_](https://2e.aonprd.com/Spells.aspx?ID=344)|35 feet, fly 100 feet, swim 60 feet; [_freedom of movement_](https://2e.aonprd.com/Spells.aspx?ID=128)|
|[Cranium Preserver](https://2e.aonprd.com/Monsters.aspx?ID=1982)||[Pathfinder #180: The Smoking Gun](https://2e.aonprd.com/Sources.aspx?ID=125) pg. 82|Rare|Large|NE|[Construct](https://2e.aonprd.com/Traits.aspx?ID=35), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137)|10|220|28|+22|+16|+19|+19|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|25 feet|
|[Crawling Hand](https://2e.aonprd.com/Monsters.aspx?ID=589)|[Crawling Hand](https://2e.aonprd.com/MonsterFamilies.aspx?ID=130)|[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 56<br><br>2.0|Common|Tiny|NE|[Undead](https://2e.aonprd.com/Traits.aspx?ID=160)|-1|8 ( negative healing )|12|+2|+5|+2|+5|[lifesense 30 feet](https://2e.aonprd.com/MonsterAbilities.aspx?ID=21), [tremorsense (imprecise) 30 feet](https://2e.aonprd.com/MonsterAbilities.aspx?ID=40)|30 feet, climb 30 feet|
|[Crawling Hand Swarm](https://2e.aonprd.com/Monsters.aspx?ID=1783)||[Pathfinder #176: Lost Mammoth Valley](https://2e.aonprd.com/Sources.aspx?ID=113) pg. 38|Common|Large|NE|[Swarm](https://2e.aonprd.com/Traits.aspx?ID=239), [Undead](https://2e.aonprd.com/Traits.aspx?ID=160)|5|60 ( negative healing )|21|+11|+15|+9|+11|[lifesense](https://2e.aonprd.com/MonsterAbilities.aspx?ID=21) 30 feet, [tremorsense](https://2e.aonprd.com/MonsterAbilities.aspx?ID=40) (imprecise) 30 feet|30 feet, climb 30 feet|
|[Crawling Slurry](https://2e.aonprd.com/Monsters.aspx?ID=1796)|[Ooze](https://2e.aonprd.com/MonsterFamilies.aspx?ID=79)|[Pathfinder #174: Shadows of the Ancients](https://2e.aonprd.com/Sources.aspx?ID=115) pg. 82|Rare|Medium|N|[Acid](https://2e.aonprd.com/Traits.aspx?ID=3), [Mindless](https://2e.aonprd.com/Traits.aspx?ID=108), [Ooze](https://2e.aonprd.com/Traits.aspx?ID=122), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137)|16|300|30|+28|+31|+20|+26|motion sense 60 feet, no vision|30 feet, climb 20 feet|
|[Creeping Crone](https://2e.aonprd.com/Monsters.aspx?ID=2052)||[Pathfinder #182: Graveclaw](https://2e.aonprd.com/Sources.aspx?ID=143) pg. 82|Rare|Medium|NE|[Rare](https://2e.aonprd.com/Traits.aspx?ID=137), [Undead](https://2e.aonprd.com/Traits.aspx?ID=160)|11|210 ( negative healing )|30|+21|+18|+24|+21|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|20 feet|
|[Crimson Acolyte](https://2e.aonprd.com/NPCs.aspx?ID=1719)||[Pathfinder #173: Doorway to the Red Star](https://2e.aonprd.com/Sources.aspx?ID=103) pg. 62|Rare|Medium|CE|[Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137)|13|235|34|+21|+25|+23|+23||30 feet|
|[Crimson Worm](https://2e.aonprd.com/Monsters.aspx?ID=75)|[Cave Worm](https://2e.aonprd.com/MonsterFamilies.aspx?ID=21)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 59|Rare|Gargantuan|N|[Beast](https://2e.aonprd.com/Traits.aspx?ID=20), [Fire](https://2e.aonprd.com/Traits.aspx?ID=72), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137)|18|410 (fire healing)|40|+36|+25|+27|+25|darkvision, tremorsense (imprecise) 100 feet|40 feet, burrow 40 feet, swim 20 feet|
|[Crocodile](https://2e.aonprd.com/Monsters.aspx?ID=84)|[Crocodile](https://2e.aonprd.com/MonsterFamilies.aspx?ID=24)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 67|Common|Large|N|[Animal](https://2e.aonprd.com/Traits.aspx?ID=9)|2|30|18|+9|+7|+5|+7|low-light vision|20 feet, swim 25 feet|
|[Crooked Coffin Brewer](https://2e.aonprd.com/NPCs.aspx?ID=2047)||[Pathfinder #181: Zombie Feast](https://2e.aonprd.com/Sources.aspx?ID=139) pg. 55|Uncommon|Medium|LN|[Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|1|25|14|+8|+6|+4|+6||25 feet|
|[Crossroads Guardian](https://2e.aonprd.com/Monsters.aspx?ID=1108)||[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 59|Rare|Medium|N|[Fey](https://2e.aonprd.com/Traits.aspx?ID=69), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137)|7|115 (primal purpose)|25|+14|+13|+19|+19|recognize hero|25 feet, swim 25 feet|
|[Crownbound Constellation](https://2e.aonprd.com/Monsters.aspx?ID=2499)||[Pathfinder #189: Dreamers of the Nameless Spires](https://2e.aonprd.com/Sources.aspx?ID=195) pg. 82|Uncommon|Huge|LN|[Astral](https://2e.aonprd.com/Traits.aspx?ID=14), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|8|98|30|+19|+16|+13|+19|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|40 feet|
|[Crucidaemon](https://2e.aonprd.com/Monsters.aspx?ID=479)|[Daemon](https://2e.aonprd.com/MonsterFamilies.aspx?ID=26)|[Pathfinder #149: Against the Scarlet Triad](https://2e.aonprd.com/Sources.aspx?ID=14) pg. 85|Common|Medium|NE|[Daemon](https://2e.aonprd.com/Traits.aspx?ID=213), [Fiend](https://2e.aonprd.com/Traits.aspx?ID=70)|15|225|38|+26|+30|+26|+26|darkvision, [_detect alignment_](https://2e.aonprd.com/Spells.aspx?ID=65) (good only), lifesense 30 feet|50 feet, [_air walk_](https://2e.aonprd.com/Spells.aspx?ID=6)|
|[Crysmal](https://2e.aonprd.com/Monsters.aspx?ID=2623)||[Rage of Elements](https://2e.aonprd.com/Sources.aspx?ID=205) pg. 103|Common|Small||[Earth](https://2e.aonprd.com/Traits.aspx?ID=55), [Elemental](https://2e.aonprd.com/Traits.aspx?ID=57)|3|45|18|+8|+9|+9|+9|crystal scent ([imprecise](https://2e.aonprd.com/Rules.aspx?ID=412)) 60 feet, [darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|25 feet, burrow 25 feet|
|[Crystal Sentinel](https://2e.aonprd.com/Monsters.aspx?ID=2560)|[Golem](https://2e.aonprd.com/MonsterFamilies.aspx?ID=57)|[Pathfinder #191: The Destiny War](https://2e.aonprd.com/Sources.aspx?ID=199) pg. 23|Rare|Large|N|[Construct](https://2e.aonprd.com/Traits.aspx?ID=35), [Golem](https://2e.aonprd.com/Traits.aspx?ID=220), [Mindless](https://2e.aonprd.com/Traits.aspx?ID=108), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137)|13|235|34|+24|+22|+18|+19|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|25 feet|
|[Crystal Strider](https://2e.aonprd.com/Monsters.aspx?ID=2625)|[Elemental, Earth](https://2e.aonprd.com/MonsterFamilies.aspx?ID=42)|[Rage of Elements](https://2e.aonprd.com/Sources.aspx?ID=205) pg. 104|Common|Huge||[Earth](https://2e.aonprd.com/Traits.aspx?ID=55), [Elemental](https://2e.aonprd.com/Traits.aspx?ID=57)|10|230|29|+21|+19|+20|+20|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [tremorsense](https://2e.aonprd.com/MonsterAbilities.aspx?ID=40) ([imprecise](https://2e.aonprd.com/Rules.aspx?ID=412)) 60 feet|45 feet, climb 45 feet; precise steps|
|[Crystalline Sentinel](https://2e.aonprd.com/Monsters.aspx?ID=2565)|[Elemental, Earth](https://2e.aonprd.com/MonsterFamilies.aspx?ID=42)|[Pathfinder #191: The Destiny War](https://2e.aonprd.com/Sources.aspx?ID=199) pg. 42|Rare|Medium|N|[Earth](https://2e.aonprd.com/Traits.aspx?ID=55), [Elemental](https://2e.aonprd.com/Traits.aspx?ID=57), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137)|11|195|30|+22|+18|+22|+20|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [tremorsense](https://2e.aonprd.com/MonsterAbilities.aspx?ID=40) (imprecise) 60 feet|20 feet, burrow 20 feet; earth glide|
|[Cu Sith](https://2e.aonprd.com/Monsters.aspx?ID=519)||[Pathfinder #153: Life's Long Shadows](https://2e.aonprd.com/Sources.aspx?ID=29) pg. 79|Uncommon|Large|N|[Fey](https://2e.aonprd.com/Traits.aspx?ID=69), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|7|140|24|+15|+17|+16|+16|low-light vision, scent (imprecise) 30 feet|40 feet|
|[Culdewen](https://2e.aonprd.com/Monsters.aspx?ID=591)||[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 57<br><br>2.0|Uncommon|Small|CE|[Amphibious](https://2e.aonprd.com/Traits.aspx?ID=207), [Fey](https://2e.aonprd.com/Traits.aspx?ID=69), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|7|105|25|+14|+18|+13|+15|[low-light vision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=23)|40 feet, swim 40 feet|
|[Cult Leader](https://2e.aonprd.com/NPCs.aspx?ID=930)|[Mystics](https://2e.aonprd.com/MonsterFamilies.aspx?ID=191)|[Gamemastery Guide](https://2e.aonprd.com/Sources.aspx?ID=22) pg. 230|Common|Medium|N|[Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|7|95|23|+12|+15|+18|+14||25 feet|
|[Cultist](https://2e.aonprd.com/NPCs.aspx?ID=927)|[Mystics](https://2e.aonprd.com/MonsterFamilies.aspx?ID=191)|[Gamemastery Guide](https://2e.aonprd.com/Sources.aspx?ID=22) pg. 229|Common|Medium|N|[Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|1|20|17|+7|+8|+4|+4||25 feet|
|[Cunning Guide](https://2e.aonprd.com/Monsters.aspx?ID=1319)|[Spirit Guide](https://2e.aonprd.com/MonsterFamilies.aspx?ID=264)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 252|Common|Small|N|[Beast](https://2e.aonprd.com/Traits.aspx?ID=20), [Incorporeal](https://2e.aonprd.com/Traits.aspx?ID=222), [Spirit](https://2e.aonprd.com/Traits.aspx?ID=149)|1|14|16|+5|+8|+7|+9|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|40 feet|
|[Cyclops](https://2e.aonprd.com/Monsters.aspx?ID=86)|[Cyclops](https://2e.aonprd.com/MonsterFamilies.aspx?ID=25)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 68|Uncommon|Large|LE|[Giant](https://2e.aonprd.com/Traits.aspx?ID=79), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|5|80|21|+13|+8|+12|+12|low-light vision|30 feet|
|[Cyclops Bully](https://2e.aonprd.com/Monsters.aspx?ID=1690)||[Pathfinder #171: Hurricane's Howl](https://2e.aonprd.com/Sources.aspx?ID=101) pg. 48|Uncommon|Large|LE|[Giant](https://2e.aonprd.com/Traits.aspx?ID=79), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|9|155|28|+21|+15|+17|+17|[low-light vision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=23)|30 feet|
|[Cyclops Zombie](https://2e.aonprd.com/Monsters.aspx?ID=2304)||[Kingmaker Adventure Path](https://2e.aonprd.com/Sources.aspx?ID=150) pg. 275|Common|Large|NE|[Mindless](https://2e.aonprd.com/Traits.aspx?ID=108), [Undead](https://2e.aonprd.com/Traits.aspx?ID=160), [Zombie](https://2e.aonprd.com/Traits.aspx?ID=245)|7|160 ( negative healing )|21|+16|+9|+12|+8|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|25 feet|
|[Cythnigot](https://2e.aonprd.com/Monsters.aspx?ID=772)|[Qlippoth](https://2e.aonprd.com/MonsterFamilies.aspx?ID=146)|[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 212<br><br>2.0|Uncommon|Tiny|CE|[Fiend](https://2e.aonprd.com/Traits.aspx?ID=70), [Qlippoth](https://2e.aonprd.com/Traits.aspx?ID=306), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|1|14|16|+9|+6|+5|+5|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|30 feet, fly 40 feet|
|[D'ziriak](https://2e.aonprd.com/Monsters.aspx?ID=644)||[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 104<br><br>2.0|Common|Medium|N|[Aberration](https://2e.aonprd.com/Traits.aspx?ID=1), [Shadow](https://2e.aonprd.com/Traits.aspx?ID=143)|3|45|19|+6|+12|+10|+10|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|25 feet|
|[Daelum](https://2e.aonprd.com/Monsters.aspx?ID=1949)||[Pathfinder #179: Cradle of Quartz](https://2e.aonprd.com/Sources.aspx?ID=122) pg. 82|Rare|Large|N|[Construct](https://2e.aonprd.com/Traits.aspx?ID=35), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137)|4|76|21|+13|+11|+9|+11|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|25 feet|
|[Daeodon](https://2e.aonprd.com/Monsters.aspx?ID=53)|[Boar](https://2e.aonprd.com/MonsterFamilies.aspx?ID=15)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 43|Common|Large|N|[Animal](https://2e.aonprd.com/Traits.aspx?ID=9)|4|60|21|+13|+9|+10|+12|low-light vision, scent (imprecise) 30 feet|40 feet|
|[Dalos](https://2e.aonprd.com/Monsters.aspx?ID=465)||[Pathfinder #148: Fires of the Haunted City](https://2e.aonprd.com/Sources.aspx?ID=13) pg. 77|Uncommon|Huge|CE|[Earth](https://2e.aonprd.com/Traits.aspx?ID=55), [Fey](https://2e.aonprd.com/Traits.aspx?ID=69), [Fire](https://2e.aonprd.com/Traits.aspx?ID=72), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|13|240|34|+27|+19|+23|+23|low-light vision|30 feet, burrow 20 feet, climb 20 feet|
|[Damibwa](https://2e.aonprd.com/Monsters.aspx?ID=1621)||[Pathfinder #170: Spoken on the Song Wind](https://2e.aonprd.com/Sources.aspx?ID=97) pg. 80|Common|Medium|N|[Animal](https://2e.aonprd.com/Traits.aspx?ID=9)|4|62|21|+11|+14|+8|+12|echolocation 60 feet, [low-light vision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=23)|30 feet, swim 30 feet|
|[Danava Titan](https://2e.aonprd.com/Monsters.aspx?ID=1341)|[Titan](https://2e.aonprd.com/MonsterFamilies.aspx?ID=205)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 269|Rare|Gargantuan|LN|[Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137), [Titan](https://2e.aonprd.com/Traits.aspx?ID=316), [Water](https://2e.aonprd.com/Traits.aspx?ID=165)|23|470|49|+41|+37|+37|+41|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [_true seeing_](https://2e.aonprd.com/Spells.aspx?ID=344), [wavesense](https://2e.aonprd.com/MonsterAbilities.aspx?ID=41) (imprecise) 100 feet|50 feet, swim 40 feet; [_air walk_](https://2e.aonprd.com/Spells.aspx?ID=6), [_water walk_](https://2e.aonprd.com/Spells.aspx?ID=371)|
|[Dancer](https://2e.aonprd.com/NPCs.aspx?ID=939)|[Performers](https://2e.aonprd.com/MonsterFamilies.aspx?ID=193)|[Gamemastery Guide](https://2e.aonprd.com/Sources.aspx?ID=22) pg. 236|Common|Medium|N|[Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|1|20|16|+6|+8|+3|+3||25 feet|
|[Dandasuka](https://2e.aonprd.com/Monsters.aspx?ID=344)|[Rakshasa](https://2e.aonprd.com/MonsterFamilies.aspx?ID=85)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 274|Common|Small|LE|[Fiend](https://2e.aonprd.com/Traits.aspx?ID=70), [Rakshasa](https://2e.aonprd.com/Traits.aspx?ID=233)|5|60|23|+12|+13|+10|+12|darkvision|25 feet, climb 20 feet|
|[Daqqanoenyent](https://2e.aonprd.com/Monsters.aspx?ID=1841)|[Beheaded](https://2e.aonprd.com/MonsterFamilies.aspx?ID=220)|[Book of the Dead](https://2e.aonprd.com/Sources.aspx?ID=118) pg. 75|Rare|Large|NE|[Rare](https://2e.aonprd.com/Traits.aspx?ID=137), [Undead](https://2e.aonprd.com/Traits.aspx?ID=160)|9|170 ( negative healing )|28|+21|+17|+15|+17|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|15 feet, fly 30 feet|
|[Dark Naga](https://2e.aonprd.com/Monsters.aspx?ID=306)|[Naga](https://2e.aonprd.com/MonsterFamilies.aspx?ID=75)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 242|Uncommon|Large|LE|[Aberration](https://2e.aonprd.com/Traits.aspx?ID=1), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|7|115|27|+15|+17|+15|+15|[_mind reading_](https://2e.aonprd.com/Spells.aspx?ID=194) 30 feet, darkvision|30 feet|
|[Deadly Mantis](https://2e.aonprd.com/Monsters.aspx?ID=296)|[Mantis, Giant](https://2e.aonprd.com/MonsterFamilies.aspx?ID=72)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 233|Common|Gargantuan|N|[Animal](https://2e.aonprd.com/Traits.aspx?ID=9)|11|220|31|+24|+20|+18|+20|darkvision|50 feet, climb 50 feet|
|[Death Coach](https://2e.aonprd.com/Monsters.aspx?ID=1852)||[Book of the Dead](https://2e.aonprd.com/Sources.aspx?ID=118) pg. 86|Uncommon|Huge|NE|[Incorporeal](https://2e.aonprd.com/Traits.aspx?ID=222), [Spirit](https://2e.aonprd.com/Traits.aspx?ID=149), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159), [Undead](https://2e.aonprd.com/Traits.aspx?ID=160)|14|228 ( negative healing )|35|+22|+28|+24|+26|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [lifesense](https://2e.aonprd.com/MonsterAbilities.aspx?ID=21) 60 feet|60 feet, fly 60 feet; soulbound gallop|
|[Death Drider](https://2e.aonprd.com/Monsters.aspx?ID=2130)||[Pathfinder #155: Lord of the Black Sands](https://2e.aonprd.com/Sources.aspx?ID=33) pg. 35|Uncommon|Large|CE|[Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159), [Undead](https://2e.aonprd.com/Traits.aspx?ID=160)|13|235 ( negative healing )|34|+24|+26|+23|+24|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|30 feet, climb 30 feet|
|[Deathless Acolyte of Urgathoa](https://2e.aonprd.com/Monsters.aspx?ID=1853)|[Deathless Acolyte](https://2e.aonprd.com/MonsterFamilies.aspx?ID=306)|[Book of the Dead](https://2e.aonprd.com/Sources.aspx?ID=118) pg. 88|Common|Medium|NE|[Undead](https://2e.aonprd.com/Traits.aspx?ID=160)|3|36 ( negative healing )|17|+7|+7|+11|+9|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|25 feet|
|[Deathless Hierophant of Urgathoa](https://2e.aonprd.com/Monsters.aspx?ID=1854)|[Deathless Acolyte](https://2e.aonprd.com/MonsterFamilies.aspx?ID=306)|[Book of the Dead](https://2e.aonprd.com/Sources.aspx?ID=118) pg. 88|Uncommon|Medium|NE|[Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159), [Undead](https://2e.aonprd.com/Traits.aspx?ID=160)|7|87 ( negative healing )|23|+13|+13|+17|+15|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|25 feet|
|[Decrepit Mummy](https://2e.aonprd.com/Monsters.aspx?ID=1884)|[Mummy](https://2e.aonprd.com/MonsterFamilies.aspx?ID=74)|[Book of the Dead](https://2e.aonprd.com/Sources.aspx?ID=118) pg. 130|Common|Medium|LE|[Mummy](https://2e.aonprd.com/Traits.aspx?ID=228), [Undead](https://2e.aonprd.com/Traits.aspx?ID=160)|2|40 ( negative healing )|17|+6|+7|+10|+10|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|20 feet|
|[Deculi](https://2e.aonprd.com/Monsters.aspx?ID=466)||[Pathfinder #148: Fires of the Haunted City](https://2e.aonprd.com/Sources.aspx?ID=13) pg. 78|Common|Large|NE|[Beast](https://2e.aonprd.com/Traits.aspx?ID=20)|12|215|33|+21|+26|+18|+23|infrared vision 60 feet, no vision|30 feet, climb 30 feet, fly 50 feet; walk in shadow|
|[Deep Gnome Rockwarden](https://2e.aonprd.com/Monsters.aspx?ID=96)|[Deep Gnome](https://2e.aonprd.com/MonsterFamilies.aspx?ID=27)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 75|Common|Small|N|[Gnome](https://2e.aonprd.com/Traits.aspx?ID=80), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|5|63|22|+12|+9|+14|+14|darkvision|15 feet|
|[Deep Gnome Scout](https://2e.aonprd.com/Monsters.aspx?ID=93)|[Deep Gnome](https://2e.aonprd.com/MonsterFamilies.aspx?ID=27)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 74|Common|Small|N|[Gnome](https://2e.aonprd.com/Traits.aspx?ID=80), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|1|18|17|+7|+9|+5|+7|darkvision|20 feet|
|[Deep Gnome Warrior](https://2e.aonprd.com/Monsters.aspx?ID=94)|[Deep Gnome](https://2e.aonprd.com/MonsterFamilies.aspx?ID=27)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 75|Common|Small|N|[Gnome](https://2e.aonprd.com/Traits.aspx?ID=80), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|2|34|18|+9|+8|+5|+7|darkvision|20 feet|
|[Deepwater Dhuthorex](https://2e.aonprd.com/Monsters.aspx?ID=1382)|[Dhuthorex](https://2e.aonprd.com/MonsterFamilies.aspx?ID=283)|[Pathfinder #165: Eyes of Empty Death](https://2e.aonprd.com/Sources.aspx?ID=81) pg. 80|Uncommon|Large|CN|[Aberration](https://2e.aonprd.com/Traits.aspx?ID=1), [Aquatic](https://2e.aonprd.com/Traits.aspx?ID=168), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|9|155|28|+19|+18|+17|+18|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [wavesense (imprecise) 60 feet](https://2e.aonprd.com/MonsterAbilities.aspx?ID=41)|10 feet; swim 40 feet|
|[Defaced Naiad Queen](https://2e.aonprd.com/Monsters.aspx?ID=2371)||[Kingmaker Adventure Path](https://2e.aonprd.com/Sources.aspx?ID=150) pg. 471|Rare|Medium|CE|[Amphibious](https://2e.aonprd.com/Traits.aspx?ID=207), [Fey](https://2e.aonprd.com/Traits.aspx?ID=69), [Nymph](https://2e.aonprd.com/Traits.aspx?ID=230), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137), [Water](https://2e.aonprd.com/Traits.aspx?ID=165)|15|230|38|+27|+30|+26|+28|low-light vision|30 feet|
|[Deimavigga](https://2e.aonprd.com/Monsters.aspx?ID=1116)|[Devil](https://2e.aonprd.com/MonsterFamilies.aspx?ID=30)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 66|Common|Medium|LE|[Devil](https://2e.aonprd.com/Traits.aspx?ID=44), [Fiend](https://2e.aonprd.com/Traits.aspx?ID=70)|17|285|40|+27|+29|+32|+32|(+36 to Sense Motive) greater darkvision|30 feet, fly 40 feet|
|[Deinonychus](https://2e.aonprd.com/Monsters.aspx?ID=118)|[Dinosaur](https://2e.aonprd.com/MonsterFamilies.aspx?ID=32)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 97|Common|Medium|N|[Animal](https://2e.aonprd.com/Traits.aspx?ID=9), [Dinosaur](https://2e.aonprd.com/Traits.aspx?ID=45)|2|30|19|+10|+9|+5|+7|low-light vision, scent (imprecise) 30 feet|30 feet|
|[Deinosuchus](https://2e.aonprd.com/Monsters.aspx?ID=85)|[Crocodile](https://2e.aonprd.com/MonsterFamilies.aspx?ID=24)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 67|Common|Huge|N|[Animal](https://2e.aonprd.com/Traits.aspx?ID=9)|9|175|26|+20|+16|+15|+17|low-light vision|30 feet, swim 40 feet|
