name,creature_summary,name_family,level
Ancient Underworld Dragon,"Underworld dragons embody the pressure between tectonic plates, the heat behind geysers, and flash fires that ignite when the conditions are just right. Natural alchemists, they innately understand reagents and catalysts. While some research the effects of magic on material reactions, the majority of underworld dragons concentrate on building their hoards. They scour the world for carved gemstones and artifacts of precious minerals, both of which they see as distilled essence of earth's bounty. Underworld dragons appear angular and sharp; their scales glow as if superheated from within, and their hair flickers like tongues of flames. An intense fire glows behind their gazes, suggesting they could ignite items with a mere thought, and their breath ripples the air as a testament to the heat contained within their bodies.","Dragon, Underworld",16
Ancient White Dragon,"The most feral and least intelligent of all the chromatic dragons, white dragons are brutish, predatory, and chiefly motivated by self-preservation. Nearly all other dragons look down on white dragons as hopelessly hotheaded and dull, though this does not make them any less dangerous—in fact, it may mean the opposite. It’s nearly impossible to treat with white dragons, not because they lack the capacity to do so, but because they just don’t care to. They are as difficult to deal with as they are quick to anger, and they become incensed at almost anything. When a white dragon does speak, it spews threats, inane jokes, and incoherent babbling as a prelude to attacking—and when the attack comes, it’s bloody and relentless. Thankfully, white dragons prefer very cold, remote locations that are far from people. Dwelling on glacial mountaintops or in ice caverns beneath forbidding tundra, they treat the lands around them as their own personal hunting grounds. They fly out to feed or terrorize other creatures, especially those who trespass near the dragon’s territory, then bring any treasure back to be displayed in icy niches in their lairs. They collect all kinds of valuables, with a slight preference for items with high utility—such as tools, trade goods, and fine food—over coins or jewels. The ability to shape ice lets white dragons rearrange their lairs exactly to their specifications, and they take great pride in how they’ve decorated their homes over the years.","Dragon, White",15
Android Infiltrator,"Androids possess synthetic bodies inhabited by living souls. These technological organisms first came to Golarion from another world when their starship crashed, scattering wreckage all across Numeria in an event known as the Rain of Stars. Feared by local Kellids and enslaved by the Technic League, androids on Golarion have spent eons being hated and hunted. Many androids survive by adopting human customs and hiding in plain sight, while others become criminals, hermits, or nomads. Designed to resemble humans, androids have several distinctive features. Their eyes have a metallic sheen, they rarely fall ill, and they have trouble displaying complex emotions. Circuit-like tattoos decorate their bodies and control internal nanites. When stimulated, these nanites kick their internal chemistry into overdrive, allowing them to function at peak performance that causes their circuitry to glow. Androids are created in sophisticated machines called foundries. They emerge as mature adults with newborn souls and no knowledge of their purpose or the world around them. Android bodies don't deteriorate, though their souls age like any other mortal's. When an android feels they've lived a full life, they willingly release their soul to the afterlife, causing their body to shut down and reboot. Once this process, known as Renewal, completes, a new soul inhabits the body. Foundry programming produces androids that mimic human anatomy. Numerous android models exist, each designed to excel at different tasks and purposes. Androids of all models display countless variations of coloration, body shapes, and gender identities. Theoretically, a foundry could be reprogrammed to create androids with new adaptations, colorations, and forms—perhaps even in the guise of other ancestries.",Android,2
Anemos,"The truth of life in the Universe is that weather controls the world. The life-giving water that flows across Golarion, the maintenance of healthy forests, and the snows, thaws, and rains that help crops flourish all rely on the weather—weather that's shaped at the whims of the winds. Anemoi are powerful beings from the Plane of Air tasked by ancient gods to guard the skies and shepherd the winds of every world across the planes. They guide the winds along their natural paths, and while neither malevolent nor malicious, an anemos has little regard for how a storm might affect any creature caught in its path. Anemoi can take several forms and shift between them as easily as they slip between the breezes. They wear humanoid guises to walk among mortals without drawing undue attention, and they transform into great, thunderous horses made of storm clouds and rain when they need to move quickly across the skies. Their true form, however, is wind coalesced into a humanoid shape, often with curling hair and feathery wings made of soft, drifting clouds. On Golarion, each of the four cardinal winds are created and directed by a quartet of cardinal anemoi. The cold north winds are guided by Boreal, bringer of winter. Austral shepherds hot winds from the south. Eural brings stormy winds from the east. Finally, the gentle winds of spring come at the call of Zephyr, from the west. These four cardinal anemoi, alongside their councils of lesser anemoi, shape and control the winds across all of Golarion. As far as anyone can tell, the cardinal anemoi don't answer to a greater authority. There are even more powerful maximal anemoi living in the Plane of Air, but they seem content to leave the Universe out of their plans. Though the cardinal anemoi try to keep a degree of separation from mortal affairs, lesser anemoi occasionally take a closer interest. Some monitor a single settlement or county, protecting, nourishing, or even vindictively destroying it. Each one has their own sets of interests. Many are vain or petty. Even more change attitudes just as quickly as the winds they guide. Pleasing an anemoi isn't a matter of following a set formula, but rather repeatedly changing course to give them what they desire for their mercurial current interests or perceived needs.",,18
Angazhani,"Angazhanis lurk in the depths of the world's jungles, where these sapient, four-armed apes prey on any creatures they deem lesser than themselves. They're purportedly the divine minions of Angazhan, demon lord of apes. While many angazhanis do worship this foul god, scarce evidence exists to support their claim to fiendish heritage. Jungle-dwelling people know well to steer clear of suspected angazhani territories; angazhanis of such areas don't slaughter outright, often capturing trespassers to serve as slaves or as living sacrifices in heinous rituals.",,8
Angheuvore Flesh-Gnawer,"Angheuvores, or mortic elves, have an insatiable hunger for raw humanoid flesh— though they're reluctant to feed on other elves. Most stalk the streets of human nations, such as Druma, Razmiran, and the River Kingdoms. Impatient and impulsive, they're opportunistic hunters, preying on the wounded and isolated.",Mortic,2
Angoyang,"Angoyangs resemble white cats with black stripes like those of a tiger. They have beautifully silken fur, piercing blue eyes, and long fluffy tails. Yet, far from the picturesque feline companions they appear to be, angoyangs are actually terrifying beasts capable of peeling back the fleshy layers of their face to reveal a mass of long, toothed tentacles. Although most cats instinctively avoid areas where angoyangs roam, the unlucky felines who do encounter this creature are invariably entangled in the monster's toothy tentacles and devoured. In cities and towns where angoyangs reside, cat owners may find that their beloved pets have gone missing only to soon have a fluffy black-and-white cat coincidentally appear at their doorstep, looking up at them with wide eyes and mewing adorably. Angoyangs almost never attack their caretakers, who they see as loyal servants that feed, clean up after, and pamper them, and the creatures protect the people in their household from any would-be intruders. However, a caretaker who mistreats or neglects their angoyang ward is often met with a grisly fate. More than one coroner or gravedigger has inadvertently inherited an angoyang after being assigned to clean up the mutilated remains of a previous “owner.”",,14
Animate Dream,"An animate dream coalesces from centuries of stray fragments of reverie and dream left behind as slumbering minds drift through the Dimension of Dreams. In most cases, these fragments simply disperse on their own, but when dreamers flee from nightmares back to the waking world, these fragments can take on a supernatural life of their own. They have little reasoning and intent except to seek similar fragments, absorb them, and grow. When enough of them gather together, they merge into a horrific form as an animate dream.Individually, animate dreams can hold a wide range of appearances, but most take on rudimentary shapes akin to the living forms of the minds that spawned them. Animate dreams that rise from slumbering humanoids, the most commonly encountered, thus appear humanoid, but with distorted, nightmarish shapes that incorporate additional twisted limbs and frightening features. In these forms, animate dreams find their way out of the Dreamlands and into the waking world, only to discover they have no way of returning and suffer a relentless hunger that only new nightmares can sate.An animate dream thrives on the terror fueled by nightmares and fear and uses its supernatural abilities to invoke such feelings in the minds of its victims, cursing its prey by creating a permanent link to that individual's dreams. Thereafter, the victim is subjected to all manner of reoccurring nightmares. As the nightmares continue, the victim finds it more and more difficult to remain awake. In the end, the victim plunges into an accursed slumber from which it cannot return. These victims provide the animate dream with the purest form of fear and are its preferred sustenance.An animate dream can subsist on the ambient fear generated by regular nightmares, but these lesser fears aren't as satisfying, often driving the animate dream to seek out new victims. Left without a source of fear, an animate dream won't starve to death, but it will grow increasingly violent and desperate. Famished animate dreams are the ones most often encountered, as they have been forced to abandon subtlety to pursue more blatant methods of harvesting fear. Yet such animate dreams also tend to be the least powerful of their kind. Those who have grown metaphysically fat on fear have generally done so by adopting a specific nightmare theme, such as being buried alive, being swept away by ocean waves, or being consumed by wild beasts. Such animate dreams often have similarly themed innate spells to augment their powers.",,8
Animated Armor,Suits of animated armor see use both as guardians and as training partners in high-end martial academies able to afford the extravagance. They are most often found in wizard laboratories and ancient dungeons.,Animated Object,2
Animated Broom,"Animated brooms perform menial tasks of cleaning and upkeep, but they can step in to defend a room from intrusion if needed. These simple animated objects can be found with greater frequency than more complicated and costly objects.",Animated Object,-1
Animated Colossus,Animating a 100-foot-tall statue is worth the cost for spellcasters guarding immense dungeons.,Animated Object,15
Animated Furnace,"This huge forge or oven is animated to protect a workspace or kitchen, travel alongside its owner, or both.",Animated Object,9
Animated Silverware Swarm,"Nobles are known to pay great amounts to animate their silverware, both for ease in cleaning and to serve as novelties during dinner parties.",Animated Object,1
Animated Statue,"Animated statues are often used to guard crypts, small shrines, or areas in government buildings where they can be positioned amid normal statues to hide their true nature until an intruder arouses their ire. Adventurers’ suspicions regarding statues suddenly animating and attacking has led many less scrupulous adventurers to automatically attack any statues they encounter, ruining harmless, ancient relics.",Animated Object,3
Animated Trebuchet,Large armies sometimes pay exorbitant fees to animate their siege weapons.,Animated Object,13
Ankhrav,"These horse-sized, burrowing monsters generally avoid heavily settled areas like cities, but ankhravs’ predilection for livestock and humanoid flesh ensures that the creatures do not remain in the deep wilderness for long. Desperate farmers whose fields become infested by ankhravs often have little recourse but to seek the aid of adventurers.
",Ankhrav,3
Ankou,"Ankous are shadowy killers who serve powerful fey creatures, or even the Eldest— the demigods of the First World. Amid the courts of the Eldest or of powerful fey rulers, these sinister assassins lurk overhead as they await the call to action—implied threats akin to deadly weapons hung as decor in a royal hall. Ankous never speak aloud; when they feel the need to communicate at all, they do so in a telepathic whisper directly into a victim's mind. While an ankou's body is made of strange, fleshy material, their claws and the cruel hooks on their wings are made of razor-sharp cold iron, a quality that makes them much feared among other fey. A typical ankou is 10 feet tall and has an 8-foot wingspan but weighs less than 80 pounds.While most ankous serve powerful masters, some of these murderous fey are left to their own devices and serve none but their own capricious, cruel whims. In some cases, their master may have been slain, while in others the ankou may have been released from service for any number of reasons. An ankou left to indulge their own whims unrestrained is often the most dangerous ankou of them all!",,14
Ankylosaurus,"Squat, heavily armored quadrupeds, ankylosauruses are stubborn and irascible. Although they’re herbivores, they have been known to attack other creatures that trespass within territory simply out of ill temper. Ankylosauruses have few natural predators, as their bony hides are covered in spiked nubs that jut in many different directions to discourage larger creatures from biting them. They have mighty tails ending in an immense knot of bone, which they use to whip at threats with incredible speed and power. While these low-to-the-ground dinosaurs can trample human-sized or smaller foes, their relatively squat stance prevents them from doing so against larger targets. An ankylosaurus is about 30 feet long, 10 feet tall at the shoulder, and weighs over 3 tons. The ankylosaurus is the largest of the heavily armored dinosaurs called ankylosaurids, but smaller versions exist as well. Still Large in size, these smaller dinosaurs, such as the 16-foot long pinacosaurus, lack the trample ability and are rarely above 4th level. Regardless of size, ankylosaurids tend to be relatively muted in coloration, with mixes of black, brown, and gray. When captive, an ankylosaurus’s keeper might paint its scales bright colors to signify to others that is not a wild creature.",Dinosaur,6
Annis Hag,"Annis hags are brutal torturers and murderers, delighting in the musical screams and tasty flesh of young creatures and those who are pure of heart. Annis hags are the most direct of all hags, engaging in physical combat and using their change shape ability to hunt rather than to infiltrate and betray humanoids. But an Annis hag takes a grisly trophy from each kill and uses it to sow discord, sending the trophy to one of her victim’s loved ones in a way that implicates another family member in the murder. Also known as iron hags, annis hags have iron-like yet flexible flesh that resists edged weapons, and their own touch is the same cold iron that burns the flesh of other hags. This allows them to bully their way to the leadership of hag covens.",Hag,6
Antipaladin,"There is perhaps nothing more anathematic to peace than an antipaladin. Dedicated holy warriors to the darkest and foulest of deities, antipaladins work to fulfill the vile wishes of their evil masters. The zeal with which they implement the plans of dark gods makes them truly fearsome foes for anyone allied with the forces of good.",Villains,5
Anugobu Apprentice,"Most young anugobus undertake not just one, but many apprenticeships in order to learn advanced techniques in their trade of choice. The apprentice depicted here specializes in construction and engineering, but an anugobu is just as likely to take up cooking, hunting, tailoring, or really anything that piques their interest.",Anugobu,3
Anugobu Wondercrafter,"Once an anugobu apprentice sets out on their own, they travel the world working on small projects here and there to maintain their skills. But an anugobu does not earn the honorable title of wondercrafter until they find their own wonder. Once they discover and finish such a wonder, the anugobu is considered fully mature. As a result of their station and experience, such anugobus possess skills and magic that far surpass most of their kind.",Anugobu,7
Aolaz,"Aolazes are great beasts carved from stone and metal and magically imbued with the essence of life. The exact means of their creation is a long-lost secret, and they are so rare that scholars have little opportunity to study active specimens. The best-known aolazes are museum pieces or battlefield relics destroyed or deactivated centuries ago, though fragmented records suggest that many more were made and might remain, yet to be unearthed.Most aolazes are built in the shape of great land-bound beasts, such as elephants, rhinoceroses, or dinosaurs. Regardless of the specific creature an aolaz has been constructed to resemble, it is not bound to walk the earth like its inspirations are—it's imbued with the magical ability to pursue across water and even through the air. Few can escape an aolaz's wrath once it is earned.",,18
Aphorite Sharpshooter,"The denizens of the Eternal City of Axis first forged aphorites to serve as emissaries, agents, and facilitators, with one foot in the sublime, perfect order of the Plane of Law, and one in the messy, murky, confusing muck of the Material Plane. In time, aphorites spread across the length and breadth of Golarion. Today they can be found in any corner of any land, and only a fraction still serve Axis directly. Aphorites, like all planar scions, stand out quite vividly from their fellow mortals, sporting metallic skin, a faint coating of crystalline dust, a swirl of mathematical symbols, or perfectly symmetrical features. Many aphorites think logically and find satisfaction in careers dealing with numbers and information. Often, this leads them to become bookkeepers, clerks, or architects, but some become military engineers or sharpshooters. Others are drawn to the art of production, becoming blacksmiths, carpenters, engineers, architects, tailors, masons, or other such artisans. But no matter their careers, aphorites often feel the urge to tinker, and aphorite inventions draws both mockery and appreciation in equal measure. Aphorites who work in less academic professions, such as mercenaries or laborers, sometimes hide their keen analytical intelligence beneath extravagant demeanors and flamboyant hats. Some craft even these disguises with the same depth and complexity they do others aspect of their lives, considering every theatrical mannerism carefully and planning out their every detail.",Planar Scion,4
Apothecary,"Surrounded by bottles and bins of crushed herbs, curative minerals, and potent extracts, the apothecary skillfully combines materials into unguents and medicines. For encounters involving making medicine or alchemical contests, the apothecary is a 3rd-level challenge.",Healers,-1
Apprentice,"Ambitious apprentices can be found in all cities. These individuals are generally younger and seek the approval of their masters as they learn their craft. Many yearn to exemplify the artistry behind their craft, one day becoming masters themselves. Depicted below is an apprentice cartographer.",Tradespeople,-1
Ararda,"Shaitans corrupted by the Black Desert's blightburn become scorpion-like arardas. While other earth genies sparkle with the iridescence of gemstones and evoke the power of the earth itself, arardas use their connection to the ground to harness the might of electricity. Arardas are so infused with this radioactive crystal that their mere presence is toxic to most living creatures.",Blightburn Genies,18
Arbiter,"These spherical inevitables are scouts and diplomats. Found throughout the multiverse, they have traditionally kept watch over on chaos and its agents. With the announcement of the Convergence, many arbiters now serve as go-betweens among the aeon alliance and its mortal associates.",Aeon,1
Arboreal Archive,"Arboreal archives are solitary beings typically found in the remote wilderness. These ancient monoliths hold the memories of their vast territories, keeping mental records of the passing seasons of the world around them. Their knowledge of humanoid affairs varies, as they find quickly shifting political situations difficult to comprehend, but through fungal networks, reports from arboreal wardens, and other woodland chatter, arboreal archives learn of each storm, drought, or logging threat encountered throughout their long years. They primarily observe and record rather than interfere, but they willingly offer wisdom to those who respectfully seek them out. Arboreal regents call upon archives for advice in times of strife, conferring on the best course of action to protect their realms. It is rare for there to be more than one arboreal archive in a given region. When an archive senses they're nearing the end of their lengthy lifespan, a grove of regents gathers to nominate the wisest among them to become the next archive. After four seasons' deliberation, all arboreals in the area congregate to witness the succession ritual, during which the elder arboreal archive transfers their collected wisdom to the elected replacement before retiring.",Arboreal,12
Arboreal Reaper,"While some forests have an idyllic, peaceful quality to them, others feel distinctly unfriendly or even sinister—these forests are the favored haunts of arboreal reapers. Sometimes these woodlands are sought out by secretive practitioners of malicious arts who claim the unsettling ambiance aids their abilities; arboreal reapers see no reason to interfere with such practices as long as the balance of their forests isn't harmed. All arboreals vary in appearance based on their surroundings, but arboreal reapers always seem vaguely eerie, whether they watch over a grim weald or a tropical rain forest. Often slightly warped, twisted, and covered in spiky protrusions, arboreal reapers sometimes sprout around old ruins or other permanent structures, breaking down and incorporating the structures as they mature and become more mobile. Arboreal reapers focus on the essential decaying phase of a forest's life cycle, becoming especially active in autumn and winter seasons. Their influence can often be seen in the explosion of mushrooms on a rotting log or the enticing fronds of a flourishing carnivorous plant. Like arboreal wardens, these woodland guardians are quicker to react to perceived threats than the more deliberate regents or retiring archives—at least by arboreal standards.",Arboreal,7
Arboreal Regent,"Arboreal regents—also called treants—are lumbering, solitary creatures responsible for guarding an entire forest. They take an especially long view of affairs and never act brashly or without much deliberation. They occasionally come together in small groups called groves to share news and pass their wisdom down to the arboreal wardens that have sprouted under their watch. In times of grave danger, all the groves in a region may gather for a great months-long meeting to plan and, eventually, act upon a threat.The typical arboreal regent is 30 feet tall, has a trunk 2 feet in diameter, and weighs 4,500 pounds.",Arboreal,8
Arboreal Snag,"Arboreals can be victims of undeath like any other living creature, but without bones or flesh, their undead take a different form. When an arboreal shivers to life as undead, it often animates as a snag—a leafless, skeletal dead tree that haunts its forest, attacking any living creature it can catch. An arboreal snag is mindless and difficult to control, but some necromancers use them as forest guardians. While many arboreals are comfortable remaining still for prolonged periods of time, arboreal snags tend to be restless, meandering in a region they consider their domain. This territory is sometimes evident from battered forest animals or trampled undergrowth that litters the ground, but forest creatures soon learn to avoid the area entirely. It doesn't take long for regions haunted by arboreal snags to grow desolate and unhealthy, and locals often dub such regions as haunted or cursed. Variant Arboreal Snags Like skeletons and zombies, snags can demonstrate variant abilities. You can remove the arboreal snag's Putrid Sap to give it one of these other abilities instead. Blood Roots (necromancy, primal) The snag's roots go deep into corpses buried beneath and around it. It has regeneration 5 (deactivated by positive) as long as it remains in an area where corpses are buried. Death Blossom  [two-actions]  (manipulate, necromancy, poison, primal) The snag shakes branches covered in sickly flowers, showering all creatures within reach of its branch Strike with poisonous pollen, dealing 3d6 poison damage (DC 20 basic Fortitude save). If the snag is critically hit, it can use Death Blossom as a reaction.",,3
Arboreal Warden,"Arboreal wardens are the rangers of arboreal society. These itinerant folk have an innate curiosity about the woodlands in which they dwell, and rarely stop to take root and rest in the same part of the forest twice. This wanderlust makes wardens ideal forest patrollers and scouts. While they are robust combatants, they know better than to confront dangerous foes on their own. Instead, they report any dangers to arboreal regents. In rare cases, large groups of arboreal wardens congregate to form a copse. Copses travel beyond the boundaries of a forest to investigate the hinterlands and gather intelligence on potential threats before returning to report their findings. Arboreal wardens do not pretend to understand to other creatures’ motives—like most forces of the natural world, they are ambivalent about mortal affairs that do not involve their forest.",Arboreal,4
Arcane Living Rune,"The most famous living runes are those of the ancient Runelords of Thassilon, resurging as Thassilon rebuilds in the modern era. Other living runes can be found, however, each with its own particular abilities. Living runes can also be crafted to deal different types of energy damage with their Strikes. Divine: Divine living runes are crafted by various churches and sects and typically bear the symbol of a deity, archdevil, or other divine force. Divine living runes replace Arcana with Religion and have the following innate spells. Divine Innate Spells DC 35, attack +27; 7th divine decree (×2); 6th blade barrier, glyph of warding (at will), repulsion, spirit blast; 5th divine wrath (×2), flame strike Occult: These runes are crafted by unknown hands and often left in out-of-the-way places. Occult living runes replace Arcana with Occultism and have the following innate spells. Occult Innate Spells DC 35, attack +27; 7th visions of danger (×2); 6th feeblemind, glyph of warding (at will), phantasmal calamity, vibrant pattern; 5th crushing despair (×2), synesthesia (×2); Cantrips (7th) detect magic; Constant (6th) true seeing Primal: Primal living runes usually resemble animate carvings rather than lines of power or paint, and are often found on menhirs or sacred trees. Primal living runes replace Arcana with Nature and have the following innate spells. Primal Innate Spells DC 35, attack +27; 7th volcanic eruption (×2); 6th baleful polymorph, flesh to stone, glyph of warding (at will), tangling creepers; 5th cone of cold (×2), wall of fire (×2); 1st detect alignment (at will); Constant (6th) true seeing",Living Symbol,13
Archer Sentry,"Archer sentries slightly outrank the rank-and-file guards, taking positions on walls, garrisons, and other important locations where they can stay out of the fray and pick off criminals or assailants.",Officers,2
Archery Specialist,"Archery specialists weaken their foes from a great distance. They typically begin combat by attempting to pin the most dangerous target, then follow up with a Rain of Arrows on a clumped group.",,13
Ardande Gardner,"Ardandes are geniekin whose elemental birthright ties them to the Plane of Wood. Their elemental connection can take many different forms, all expressions of the different types and permutations of elemental wood. They might embody the life and vibrancy of a seedling, full of potential and ready to grow. Or, they could be strong and flexible, like the branches and roots of ancient trees, interconnected and all growing together. They could also possess power over death and decay, like decomposing logs ready to fertilize and feed the next generation. Common on the Plane of Wood, uncommon in the First World, and only on the cusp of a resurgence into the Universe, the ardandes often feel misplaced in the multiverse, born into the wrong place or the wrong time. Many spend their lives searching the planes for answers about themselves and their heritage. Ardandes are found in all major cities and civilizations on the Plane of Wood, though most live in Nodollin, the Glowing Infinity, a metropolis controlled by the powerful kizidhars. Some ardandes say life in Nodollin is filled with infantilization and belittlement from the kizidhars, the wood genies who rule the land and much of the plane. The kizidhars largely view ardandes as genies like them, but a lesser form of genie that ranks below kizidhar commoners in the same way they are lesser to the shuyookhs. Though a few ardandes rebel against this social order, the weight of culture tells them hierarchies are natural to the element of wood, and they should accept their place even if they chafe. Many planar ardandes moved to Shodokar when the new city was founded, hoping the influx of portals leading out of the Plane of Wood would let them visit the rest of the multiverse and learn about their lost mortal heritage. They delight in meeting visitors and showing off the beauty and wonders of their home plane. Some have even moved to the Universe, and they make invaluable mentors for the new ardandes only just discovering their elemental potential across Golarion.",Planar Scion,1
Arms Of Balance,"Each competitor on this team of elementalists has a unique special ability that only they can use; a fighter's ability is denoted by the individual's name in the traits parenthetical in the stat block below. Only that individual can use the ability (so, for instance, the Arms of Balance can't use Breath of the Volcano four times per round, since only Usvani knows that ability). Each fighter has a different rune on their handwraps of mighty blows, allowing each to deal a different type of energy damage with their fist Strikes.",,15
Army Ant Swarm,An army ant swarm is a terrifying carpet of stinging insects that devours all in its path.,Ant,5
Asp Of Grief,"On the Plane of Metal, a soft whisper and gentle jingle often accompany the tempestuous winds, while what appear to be gold ribbons twist and writhe through the air. In actuality, these are asps of grief—intelligent, snakelike creatures drawn to strong emotions. The iron irises of their eyes allow them to see the ever-shifting magnetic fields of the Plane of Metal, which the asps can use to sail across the skies. Asps of grief prey on sorrow and heartache, and times of loss, mourning, and bereavement attract them. Wearing delicate iron bells to announce their arrivals at funerals, battlefields, and the traditional columbaria built for the plane's dead, asps of grief shake their heads, making their bells chime and alerting mourners to their presence. “Will you share your sorrow with me?” they ask, their gentle voices low and sibilant. If the bereaved agrees, the asps' tongues flick out, tasting the anguish of the living, sipping on sadness and fear, and providing a temporary reprieve from suffering. Though the asps are associated with death, most denizens of the Plane of Metal see them as good omens. Intensely curious creatures, asps of grief crave information about magic and the multiverse. They might attach themselves to adventuring parties or ask wanderers they meet for any obscure arcane knowledge they may have come across on their journeys. In exchange, the asps of grief offer to help these travelers work through any anguish or trauma they may be carrying— or at least ease their emotional pain for a time.",,10
Assassin,"Assassins commit murder, either for pay or due to their belief in a cause, such as a religion or a political movement. Some assassins work alone and choose their own victims. Others are members of assassins' guilds, organizations that accept contracts to kill in return for money, favors, or both.",Criminals,8
Assassin Vine,"The assassin vine is a carnivorous plant with a voracious appetite. Rather than consuming creatures directly, it creates its own fertilizer by entangling prey and squeezing the life from it. Once the plant has killed a creature, it pulls the carcass over to its roots to feed from the decaying flesh. Although an assassin vine lacks eyes, it can detect and track prey through a combination of using its root systems to detect vibrations through topsoil and its leaves to detect heat changes in the vicinity. Although the assassin vine has no real intelligence, its learned behaviors mimic those of cunning ambush hunters.As it is slow moving, the assassin vine typically remains rooted in a single area for as long as it has sufficient prey. Though most often found along woodland trails or swamps, these plants can also be encountered in more rural settlements, poorly tended fields, and vineyards. While assassin vines can't be trained in the classical sense, they can be used as defenses, and woodland-dwelling creatures like goblins and fey have been known to cultivate assassin vines as guardians for less-used routes into their lairs. In such cases, the tenders often seek to make the path more obvious than its disuse would otherwise suggest, while simultaneously working to ensure the bones of the vines' victims are removed to keep their presence a secret, resulting in what appears to be an easy approach to the den but is actually an organic ambush.Mature assassin vines grow to 20 feet long and have smaller vines extending off the main trunk that reach from to 5 to 10 feet in length. The smallest of these vines sprout every 6 inches or so; they tend to grow clusters of full leaves and occasionally bear small berries. A recently fed assassin vine can have bunches of plump, blood-red berries that are juicy and tart but leave a slightly unpleasant iron aftertaste, as if from the faint taste of blood from a bitten lip.",,3
Astradaemon,"These unnerving, almost reptilian daemons represent death by direct assault against a soul or life-force—the same numbing death they bring with their fell touch. Rarely seen on the Material Plane, astradaemons spend most of their time hunting the pathways between the living world and the afterlife. There, they capture migrating souls, snatching them from their rightful rewards or punishments and dragging them to Abaddon as tribute to their undying masters. These horrifying predators of the dead can also be found stalking the banks of the River of Souls in the Astral Plane, where they constantly hunt for new victims. Psychopomps have a particular hatred of astradaemons as a result, and clashes between them and these eerie hunters of the recently departed are indeed the stuff of legend. Not all astradaemons limit their hunt to souls. The most notorious of their kind serve the Horsemen themselves as assassins.",Daemon,16
Astral Deva,"Astral devas are the elite messengers and emissaries of the celestial realms, serving deities and celestial armies by delivering messages, performing reconnaissance, and providing support for those in need of aid. They watch over planar travelers and take powerful mortals under their wings to mentor them. Astral devas carry scrolls containing important messages and other celestial secrets.Astral devas can form spontaneously from the souls of exceptional good-aligned mortals, but are also sometimes created from such souls intentionally by deities or demigods. In the later cases, astral devas often bear physical features that mark them as closely affiliated with that deity. An astral deva created by Sarenrae, for example, might have hair made of fire, while one created by Torag might look more dwarven, and one created by Desna could have butterfly wings instead of feathered wings. It’s not unusual for astral devas created by lawful good or chaotic good deities to share their creators’ alignment.",Angel,14
Astronomer,"Different cultures have created stories of the hows and whys of the universe, if things exist beyond the stars, and if the gods manipulate the heavenly bodies. But astronomers aren't interested in folktales—they desire truth.",Scholars,2
Athach,"The towering and brutish giants known as athaches are reviled for both their monstrosity and their cruelty. Beyond an athach's filthy habits, this giant is made stranger by the gangly third arm that protrudes from their torso and ends in a twitching, long-fingered claw. Huge, tusk-like fangs descend from an athach's upper jaw and prop their mouth open, leaking long strands of viscous drool that is itself is a toxic venom and coats the athach's fangs.Athachs despise civilization almost as much as they despise their own kind, and they delight in committing sadistic acts and terrorizing victims. An athach does not keep a traditional territory of their own, but rather wanders the hinterlands of settled territories until they find a suitably easy settlement of smaller humanoids to target. Once the athach has chosen their target, the giant establishes a hidden lair in a location like an abandoned farmhouse or cave, and from there they launch their reign of torment. After a few weeks of harassing, capturing, and torturing victims, the athach bores of their games. The giant then goes on a final rampage, destroying every dwelling and eating every creature they can find. Sometimes, the giant allows a survivor or two to escape, forcing these terrified victims to spend the rest of their lives spreading word of the athach's fearsomeness.",,12
Attic Whisperer,"Beware the haunting sobs of the attic whisperer, for they carry the pained wrath of an abandoned child who perished due to the neglect or absence of their caretakers. Animated by loneliness, the embittered spirit binds itself to the material world in a body made of bits and oddments of a lost childhood—wooden blocks, scraps of blankets, ratty dolls, buttons, carved trinkets, and glass marbles. To give themselves the semblance of a head, they top their patchwork bodies with a small animal's skull.Attic whisperers most frequently lurk in old infirmaries, orphanages, and other such institutions where children were forgotten, and they lay dormant for decades in hopes that they might one day find a playmate to ease their eternal loneliness. When they sense the living, attic whisperers attempt to lure them into their clutches by calling out to them using the voice of a small child. Though attic whisperers intend only to play with those they encounter, they drain the breath and voice from living creatures as their dark impulses take over.",,4
Augnagar,"The brutish and gluttonous augnagar live to feast— preferably on rotten flesh, and when possible, demon flesh. But to them, the greatest delicacy is the flesh of other augnagars. Augnagars have spiderlike legs with leathery membranes like a bat's wings, and three tails ending in hooked claws perfect for slicing flesh.",Qlippoth,14
Augur,"These spherical knots of sinewy muscle, serrated blades, and bloody metal are the most common velstracs on the Shadow Plane. Each augur has only a single eye, from which they can see the horrors inflicted by other velstracs, who train the augur to expect and appreciate pain. Augurs are 1 foot in diameter and weigh 30 pounds.",Velstrac,1
